,会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,color
1832,100334,道の駅「名田庄」,1,1965,57,50代,福井県,越前市,"900万円以上 1,000万円未満",mobile/iphone,2022-05-21 15:10:00,5月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"1,000円未満","1,000円未満","1,000円以上 3,000円未満",6～10回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",4,品揃えが豊富,感じなかった,,6,,,福井県在住,,blue
1835,104318,web,2,1966,56,50代,滋賀県,大津市,分からない/無回答,mobile/iphone,2022-05-21 14:53:07,5月,三方五湖 エリア,63.三方五湖 エリア,若狭町,嶺南東部,三方五湖DMO(株),1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,滋賀県,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
観光連盟やDMOのHP
インターネット・アプリ
",0,1,0,1,1,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,"みなさんがとても親切でした
食事はもちろん美味しかったです","10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,若狭三方縄文博物館,年こう博物館,選択なし/該当施設なし,若狭彦神社、姫神社、恵比須神社,"1,000円以上 3,000円未満",4,年こう博物館で建物も素敵で楽しめた,感じた,年こう博物館の案内が少ない,6,,,また行きたい（1年以内）,"今回初めて福井は梅が有名だと知りました
梅は和歌山のイメージが強いけど、とても美味しかったのでもっとアピールするといいのに
と思いました",blue
1837,104315,web,2,1991,31,30代,大阪府,箕面市,"900万円以上 1,000万円未満",mobile/iphone,2022-05-21 14:14:49,5月,永平寺町 エリア,27.永平寺町 エリア,永平寺町,福井市・永平寺町,,2泊,2泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"5,000円以上 10,000円未満","40,000円以上 50,000円未満",2～5回目,丸岡城,石田屋,選択なし/該当施設なし,,"10,000円以上 20,000円未満",5,"美味しい日本酒も購入できて、
けんぞう蕎麦の所でとても美味しいお蕎麦が食べれたので満足です。
勝山からのアクセスも良くて便利でした。",感じなかった,,8,おそばと永平寺がいいので、ぜひ日本を味わっていただきたい。,,また行きたい（1年以内）,"福井県はお米もお魚もお酒も美味しく
都会すぎずとても居心地がよくて大好きです。
まったりとしたい時に行きたくなる場所です。",blue
1838,104314,レインボーライン エリア,1,1988,34,30代,福井県,吉田郡,300万円以上 400万円未満,mobile/iphone,2022-05-21 14:10:16,5月,レインボーライン エリア,59.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),日帰り,福井県内には宿泊しない,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
ドライブ・ツーリング
",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"新聞・雑誌・ガイドブック
Twitter
Instagram
",0,1,0,0,0,0,1,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,"ちょっと価格が高めですね。
施設としては、思った以上に広くて綺麗で景色も良くて良かったです。
レストランもレベルが高くて、次も利用したいと思います。",使わない,"3,000円以上 5,000円未満","1,000円以上 3,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,"肌寒い時に来ましたが、足湯が良かったです。
ロープウェイとゴンドラが選べるのもスムーズに移動できて良かったです。",感じなかった,,3,へしこライスコロッケが美味しかった,"ケーキやパフェなどがあるカフェがあるといいなと感じた。
食べ歩きできるのはとても良いと感じた。",また行きたい（1年以内）,,blue
1840,104282,web,2,1965,57,50代,福井県,福井市,400万円以上 500万円未満,mobile/iphone,2022-05-21 13:43:27,5月,若狭海遊バザール 千鳥苑 エリア,60.若狭海遊バザール 千鳥苑 エリア,美浜町,嶺南東部,三方五湖DMO(株),1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,新緑と水面のコントラストが素敵でした,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",2～5回目,敦賀赤レンガ倉庫,,若狭三方縄文博物館,,"1,000円以上 3,000円未満",4,海の幸が美味しい,感じなかった,,8,移動時間も適度で、車窓の景色も綺麗,,また行きたい（1年以内）,,blue
1845,104306,道の駅「恐竜渓谷かつやま」 エリア,1,1983,39,30代,愛知県,新城市,"1,500万円以上",tablet/ipad,2022-05-21 13:24:12,5月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,日帰り,1泊,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,選択肢なし,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,また機会があるときに歴史散策をしたいと感じたから,感じなかった,,5,,,機会があれば行きたい,,blue
1846,104306,道の駅「恐竜渓谷かつやま」 エリア,1,1983,39,30代,愛知県,新城市,"1,500万円以上",mobile/iphone,2022-05-21 13:20:29,5月,道の駅「恐竜渓谷かつやま」 エリア,20.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,1泊,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"名所、旧跡の観光
買い物、アウトレット
まちあるき、都市散策
ドライブ・ツーリング
",0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",初めて,道の駅「九頭竜・和泉ふれあい会館」,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,空間が広く感じる作りだったので,感じなかった,,8,,,機会があれば行きたい,,blue
1848,104295,web,2,1969,53,50代,福井県,小浜市,300万円以上 400万円未満,mobile/iphone,2022-05-21 13:15:31,5月,若狭フィッシャーマンズワーフ エリア,53.若狭フィッシャーマンズワーフ エリア,小浜市,嶺南西部,(株)まちづくり小浜,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",5,お店がきれいで県内のいろいろなお土産が揃っているから,感じなかった,,7,"そともめぐり
新鮮な魚",お昼は結構混んでいるので、もう少し飲食店があると良い。,福井県在住,代表的なお土産として知られているものが少ないので、もっと全国の人に知ってもらえるといいと思います,blue
1851,104298,名勝 養浩館庭園 エリア,2,1965,57,50代,三重県,津市,"1,000万円以上 1,200万円未満",mobile/iphone,2022-05-21 13:08:43,5月,名勝 養浩館庭園 エリア,05.名勝 養浩館庭園 エリア,福井市,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
徒歩
",0,0,1,0,,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,選択なし/該当施設なし,国龍神社,選択なし/該当施設なし,吉田屋,"3,000円以上 5,000円未満",3,人が少なく観光地とは思えないぐらいだった。,感じなかった,,3,おろしそばがおいしかった。,観光やお土産買うのに、特典ある駐車場がよくわからず、ウロウロしてしまった。,機会があれば行きたい,駅前再開発が終わってからまた来たいです。,yellow
1852,104297,うみんぴあ大飯 エリア,2,1965,57,50代,福井県,小浜市,500万円以上 600万円未満,mobile/iphone,2022-05-21 13:06:21,5月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,,日帰り,4泊以上,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県住み,自分ひとり,"地元の美味しいものを食べる
買い物、アウトレット
",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
友人・知人
",0,0,0,1,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,使わない,"3,000円以上 5,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,オープンガーデンIN高浜,"3,000円以上 5,000円未満",4,景色が良い。同じ嶺南に住んでいるけれど旅行気分に浸れる。地元の海山の幸が購入できる。特に特産の椎茸は新鮮・安い・美味しいので必ず購入します。,感じなかった,,8,,,福井県在住,,blue
1854,104275,日本海さかな街 エリア,1,1962,60,60代,岐阜県,恵那市,"1,000万円以上 1,200万円未満",mobile/iphone,2022-05-21 12:54:05,5月,日本海さかな街 エリア,46.日本海さかな街 エリア,敦賀市,嶺南東部,,1泊,福井県内には宿泊しない,福井県内には宿泊しない,岐阜県,夫婦2人,"花見や紅葉などの自然鑑賞
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,魚が新鮮で安いから,使わない,"5,000円以上 10,000円未満","3,000円以上 5,000円未満",2～5回目,選択なし/該当施設なし,琵琶湖,選択なし/該当施設なし,高山,"10,000円以上 20,000円未満",4,,感じた,,3,,,,,blue
1855,104290,web,2,1975,47,40代,愛知県,豊田市,800万円以上 900万円未満,mobile/iphone,2022-05-21 12:46:07,5月,スーベニアショップ ラプトル エリア,19.スーベニアショップ ラプトル エリア,大野市,勝山市・大野市,勝山市観光まちづくり(株),2泊,2泊,奥越前エリア（勝山市・大野市）,泊まらない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",初めて,福井県立恐竜博物館,,大本山永平寺,,"1,000円以上 3,000円未満",5,恐竜にちなんだ食事が楽しい。娘たちは、骨格チョコがついた限定のサンデーをとても気に入っていました。,感じた,昼時で仕方ないがテーブルがあかず待った。,10,恐竜好きにはたまらないから。,,また行きたい（1年以内）,今回はエリアを絞ったので、また別の場所にゆっくり観光に訪れたい。,blue
1861,104285,越前和紙の里 エリア,1,1987,35,30代,福井県,鯖江市,分からない/無回答,mobile/iphone,2022-05-21 12:00:01,5月,越前和紙の里 エリア,28.越前和紙の里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"お祭りやイベントへの参加・見物
まちあるき、都市散策
",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"観光展・物産展
観光パンフレット・ポスター
インターネット・アプリ
",1,0,0,1,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","1,000円以上 3,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",4,紙見れたから,感じなかった,,2,,,福井県在住,,blue
1866,104279,web,1,1960,62,60代,福井県,福井市,700万円以上 800万円未満,mobile/iphone,2022-05-21 11:26:12,5月,金ヶ崎 エリア,49.金ヶ崎 エリア,敦賀市,嶺南東部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"20,000円以上 30,000円未満","1,000円以上 3,000円未満","10,000円以上 20,000円未満",2～5回目,選択なし/該当施設なし,,三方五湖,,"1,000円未満",4,"施設が清潔。
清掃がしっかりされている。",感じなかった,,8,,,福井県在住,,blue
1868,104273,一乗谷朝倉氏遺跡 エリア,1,1963,59,50代,埼玉県,久喜市,"1,000万円以上 1,200万円未満",mobile/android,2022-05-21 11:19:06,5月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
インターネット・アプリ
",0,1,0,0,0,1,0,0,0,0,0,0,0,0,"レンタカー
飛行機
",0,1,0,0,1,0,0,"レンタカー
",0,0,0,0,とても満足,行動の自由度,"30,000円以上 40,000円未満","50,000円以上 100,000円未満","20,000円以上 30,000円未満",2～5回目,選択なし/該当施設なし,小松空港から直接,丸岡城,,"1,000円以上 3,000円未満",5,"良い意味で観光地化されておらず、遺跡を自由に散策出来る点です。
もっと全国に宣伝した方が良いと感じます。",感じなかった,,10,,見所の価値について、分かりやすく理解出来る説明板やパンフレット等が充実していれば有難いです。特別名勝、特別史跡として認定された価値が知りたいと思いました。,また行きたい（1年以内）,地元の食材をふんだんに用いた料理や日本酒,blue
1872,104235,web,1,1994,28,20代,滋賀県,大津市,400万円以上 500万円未満,mobile/iphone,2022-05-21 11:11:13,5月,三方五湖 エリア,63.三方五湖 エリア,若狭町,嶺南東部,三方五湖DMO(株),1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,トイレが綺麗,感じなかった,,9,年縞博物館、面白かった,,機会があれば行きたい,,blue
1876,104268,web,2,1972,50,50代,福井県,坂井市,"1,000万円以上 1,200万円未満",mobile/iphone,2022-05-21 10:38:25,5月,道の駅「西山公園」 エリア,32.道の駅「西山公園」 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,宿泊しない,夫婦2人,"花見や紅葉などの自然鑑賞
テーマパーク（遊園地、動物園、博物館など）
",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
TV・ラジオ番組やCM
インターネット・アプリ
",0,1,1,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","1,000円以上 3,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,花と動物,感じた,駐車場,9,,,福井県在住,,blue
1878,104265,道の駅「越前」 エリア,1,1995,27,20代,和歌山県,和歌山市,400万円以上 500万円未満,mobile/android,2022-05-21 10:11:57,5月,道の駅「越前」 エリア,38.道の駅「越前」 エリア,越前町,丹南,,1泊,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,職場の同僚,"名所、旧跡の観光
ドライブ・ツーリング
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,バイク,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
その他
",1,0,0,0,0,0,0,"自家用車
その他
",0,0,0,0,,,"1,000円以上 3,000円未満","1,000円以上 3,000円未満","1,000円未満",初めて,越前大野城,,道の駅「河野」,,"1,000円未満",4,駐車場が入りやすかった,感じなかった,,5,,,機会があれば行きたい,,blue
1883,104257,一乗谷朝倉氏遺跡 エリア,1,1954,68,60代,三重県,桑名市,200万円以上 300万円未満,mobile/android,2022-05-21 09:35:22,5月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,自由度が高い,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,西山動物園,,選択なし/該当施設なし,,"1,000円未満",4,のんびりしました,感じなかった,,8,のんびり感,ゆったりかん,機会があれば行きたい,消費者誘致,blue
1888,104252,レインボーライン エリア,1,1964,58,50代,奈良県,天理市,100万円未満,mobile/iphone,2022-05-21 07:04:47,5月,レインボーライン エリア,59.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),2泊,福井県内には宿泊しない,福井県内には宿泊しない,富山市,親,"花見や紅葉などの自然鑑賞
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"レンタカー
",0,1,0,0,0,0,0,"レンタカー
",0,0,0,0,満足,景色がきれい,使わない,"50,000円以上 100,000円未満","1,000円以上 3,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",4,,感じなかった,,5,,,機会があれば行きたい,,blue
1890,104248,あわら温泉 エリア,1,1958,64,60代,大阪府,大阪市平野区,200万円以上 300万円未満,pc/others,2022-05-21 01:19:14,5月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,京都府,夫婦2人,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","3,000円以上 5,000円未満",初めて,選択なし/該当施設なし,福井駅,福井県立恐竜博物館,,"10,000円以上 20,000円未満",5,温泉も食事もよかった,感じなかった,,10,温泉が素晴らしい,温泉をこれ以上に素晴らしいものにしてほしい。,また行きたい（1年以内）,恐竜関係の食べるもののお土産をもっと増やしてほしい。,blue
1891,104598,五湖の駅 エリア,2,1979,43,40代,愛知県,小牧市,500万円以上 600万円未満,mobile/android,2022-05-22 23:56:19,5月,五湖の駅 エリア,61.五湖の駅 エリア,美浜町,嶺南東部,三方五湖DMO(株),1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
観光パンフレット・ポスター
Instagram
",1,0,0,1,0,0,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,自分たちのペースで楽しめる,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,氣比神宮,,若狭フィッシャーマンズワーフ,,"1,000円以上 3,000円未満",4,以前から気になっており、念願叶いました。,感じなかった,,10,お魚が美味しかった,,また行きたい（1年以内）,今度はかにを食べに来たい！,blue
1894,100416,越前そばの里,2,1968,54,50代,福井県,敦賀市,100万円未満,mobile/android,2022-05-22 22:44:01,5月,はたや記念館 ゆめおーれ勝山 エリア,24.はたや記念館 ゆめおーれ勝山 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,使わない,使わない,2～5回目,白山平泉寺歴史探遊館 まほろば,,道の駅「恐竜渓谷かつやま」,,使わない,4,二階の糸繰機が見応えあって好きです。,感じなかった,,7,,,福井県在住,,blue
1895,104223,web,1,1951,71,70代,和歌山県,橋本市,200万円以上 300万円未満,mobile/android,2022-05-22 22:41:26,5月,熊川宿 エリア,62.熊川宿 エリア,若狭町,嶺南東部,,2泊,2泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,自分ひとり,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"在来線
",0,0,0,1,0,0,0,"在来線
徒歩
",0,0,1,0,どちらでもない,小浜線の電車が少ない。,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,敦賀鉄道資料館（旧敦賀港駅舎 ）,,道の駅「若狭熊川宿」,,"1,000円以上 3,000円未満",4,,感じなかった,,7,,,また行きたい（1年以内）,,blue
1896,100416,越前そばの里,2,1968,54,50代,福井県,敦賀市,100万円未満,mobile/android,2022-05-22 22:38:30,5月,平泉寺白山神社 エリア,23.平泉寺白山神社 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,満足,,使わない,使わない,使わない,2～5回目,越前大仏,,はたや記念館 ゆめおーれ勝山,,使わない,4,"いつ来ても素敵な場所です。
苔がきれい。",感じなかった,,9,,,福井県在住,,blue
1898,100416,越前そばの里,2,1968,54,50代,福井県,敦賀市,100万円未満,mobile/android,2022-05-22 22:35:12,5月,越前大仏 エリア,22.越前大仏 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,使わない,使わない,初めて,道の駅「越前おおの荒島の郷」,,白山平泉寺歴史探遊館 まほろば,,"1,000円未満",4,なにもかもが大きく迫力があり、思ったより良かったです。,感じなかった,,8,,,福井県在住,,blue
1899,100416,越前そばの里,2,1968,54,50代,福井県,敦賀市,100万円未満,mobile/android,2022-05-22 22:28:03,5月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,使わない,使わない,初めて,選択なし/該当施設なし,,越前大仏,,"1,000円以上 3,000円未満",5,初めて行きましたが広くて商品も豊富、フードコートも地元の名物を使ったメニューで美味しかったです。,感じなかった,,10,,,福井県在住,,blue
